品名,URL,メーカー,名称,保存期間,内容量,原材料,アレルゲン
さば セイロンカレー,https://www.inaba-foods.jp/products/detail/1533,いなば食品株式会社,水産缶詰,約3年,140ｇ,さば（国産）、食用植物油脂、野菜エキス、玉ねぎペースト、砂糖、カレー粉、トマトミックスソース、おろしにんにく、ココナッツ調製品、りんご酢、塩こうじ、唐辛子/調味料（アミノ酸等）、増粘剤（グァーガム）、酸味料、パプリカ色素、（一部に乳成分・さば・大豆・鶏肉・りんごを含む）,乳、大豆、さば、鶏肉、りんご
さば 和だしカレー,https://www.inaba-foods.jp/products/detail/1527,いなば食品株式会社,水産缶詰,約3年,140ｇ,さば（国産）、食用植物油脂、醤油、砂糖、玉ねぎペースト、トマトミックスソース、野菜エキス、カレー粉、本みりん、おろしにんにく、塩こうじ、かつおだし、そうだかつおだし、/調味料（アミノ酸等）、増粘剤（グァーガム）、酸味料、パプリカ色素、（一部に小麦・さば・大豆・鶏肉・豚肉を含む）,小麦、大豆、さば、鶏肉、豚肉
ひと口いわし みそ煮,https://www.inaba-foods.jp/products/detail/223,いなば食品株式会社,水産缶詰,約3年,115g,いわし、みそ、砂糖、しょうが/調味料（アミノ酸等）、増粘剤（キサンタンガム）、（一部に大豆を含む）,大豆
ひと口いわし 味付,https://www.inaba-foods.jp/products/detail/205,いなば食品株式会社,水産缶詰,約3年,115g,いわし、しょうゆ、砂糖、しょうが/調味料（アミノ酸等）、増粘剤（キサンタンガム）、クエン酸（一部に小麦・大豆を含む）,小麦、大豆
ひと口さば みそ煮,https://www.inaba-foods.jp/products/detail/200,いなば食品株式会社,水産缶詰,約3年,115g,さば、みそ、砂糖、しょうが/調味料（アミノ酸等）、クエン酸、増粘剤（キサンタンガム）、（一部にさば・大豆を含む）,大豆、さば
ひと口さば 味付,https://www.inaba-foods.jp/products/detail/199,いなば食品株式会社,水産缶詰,約3年,115g,さば、しょうゆ、砂糖、しょうが/調味料（アミノ酸等）、クエン酸、増粘剤（キサンタンガム）、（一部に小麦・さば・大豆を含む）,小麦、大豆、さば
ひと口さば 水煮,https://www.inaba-foods.jp/products/detail/201,いなば食品株式会社,水産缶詰,約3年,115g,さば、食塩、しょうが、酵母エキス、野菜エキス,さば
まぐろ味付フレーク,https://www.inaba-foods.jp/products/detail/58,いなば食品株式会社,水産缶詰,約3年,160ｇ,まぐろ、しょうゆ(大豆、小麦を含む)、砂糖、野菜スープ、調味料(アミノ酸等),小麦、大豆
帆立貝柱フレーク,https://www.inaba-foods.jp/products/detail/57,いなば食品株式会社,水産缶詰,約3年,70ｇ,ほたて貝柱、食塩,None
帆立貝柱水煮（割肉）,https://www.inaba-foods.jp/products/detail/56,いなば食品株式会社,水産缶詰,約3年,70ｇ,ほたて貝柱、食塩,None
さんま味噌煮,http://the-sands.co.jp/EmergencyGoods/kandume.html,サンズ株式会社,畜肉缶詰,約6年,"160g ",さんま、調合みそ、砂糖、水飴、食塩、寒天（原材料の一部に大豆を含む）,大豆
牛肉大和煮,http://the-sands.co.jp/EmergencyGoods/kandume.html,サンズ株式会社,水産缶詰,約6年,80g,牛肉、砂糖、醤油、還元水飴、寒天、唐辛子、調味料(アミノ酸等)、炭酸水素Na、(原材料の一部に小麦、大豆を含む),小麦、大豆
いか味付け,http://the-sands.co.jp/EmergencyGoods/kandume.html,サンズ株式会社,水産缶詰,約6年,90g ,いか、砂糖、醤油、食塩、寒天、カラメル色素、（原材料の一部に小麦、大豆を含む）,小麦、大豆
レスキューフーズ ぶり大根,http://www.foricafoods.co.jp/rescue/542,ホリカフーズ株式会社,水産缶詰,約3年6ヶ月,90g,ぶり、大根、砂糖、しょうゆ、清酒、こんぶエキス、しょうが、(一部に小麦、大豆を含む),小麦、大豆
