品名,URL,メーカー,名称,保存期間,内容量,出来上がり量,原材料,アレルゲン
尾西のチキンライス,https://www.onisifoods.co.jp/products/chickenrice.html,西尾食品株式会社,アルファ米,5年,100g,260g,うるち米（国産）、味付乾燥具材（味付鶏肉、人参、コーン、味付玉ねぎ）、調味粉末（食塩、ポークパウダー、粉末醤油、トマトパウダー、チキンエキスパウダー、砂糖、野菜エキスパウダー、香辛料、パセリ、酵母エキスパウダー、食用植物油脂）／調味料（アミノ酸等）、甘味料（カンゾウ）、微粒酸化ケイ素、香料、パプリカ色素、酸味料、酸化防止剤（ビタミンE）、トレハロース、（一部に小麦・大豆・鶏肉・豚肉を含む）,小麦、大豆、鶏肉、豚肉
尾西のえびピラフ,https://www.onisifoods.co.jp/products/ebipilaf.html,西尾食品株式会社,アルファ米,5年,100g,260g,うるち米（国産）、味付乾燥具材（人参、コーン、味付えび）、調味粉末（食塩、乳糖、チキンエキスパウダー、野菜エキスパウダー、バター風味パウダー、酵母エキスパウダー、たん白加水分解物、パセリ、脱脂粉乳、香味油、粉末醤油、魚介エキスパウダー、ローレル、食用植物油脂）／調味料（アミノ酸等）、トレハロース、微粒酸化ケイ素、香料、酸化防止剤（ビタミンE）、甘味料（カンゾウ）、リン酸塩（Ｎａ）、酸味料、（一部にえび・かに・小麦・乳成分・大豆・鶏肉・豚肉・ゼラチンを含む）,えび、かに、小麦、乳成分、大豆、鶏肉、豚肉、ゼラチン
尾西の白がゆ,https://www.onisifoods.co.jp/products/shirogayu.html,西尾食品株式会社,アルファ米,5年,42g,245g,うるち米（国産）、顆粒食塩（食塩、寒梅粉）,なし
尾西の梅がゆ,https://www.onisifoods.co.jp/products/umegayu.html,西尾食品株式会社,アルファ米,5年,45g,242g,うるち米（国産）、梅しそ粉末（食塩、でん粉分解物、梅肉ペースト、しそ梅酢、もみしそ、赤しそエキス）/酸味料、増粘剤（加工でん粉）,なし
尾西の塩こんぶがゆ,https://www.onisifoods.co.jp/products/shiokonbugayu.html,西尾食品株式会社,アルファ米,5年,46g,246g,うるち米（国産）、塩昆布（たん白加水分解物、昆布、食塩）／調味料（アミノ酸等）、甘味料（ソルビトール、甘草）、カラメル色素、増粘多糖類,なし
オニシのナシゴレン,https://www.onisifoods.co.jp/products/ethnic/nasigoreng.html,西尾食品株式会社,アルファ米,5年,80g,192g,うるち米（国産）、味付乾燥具材（乾燥人参、味付玉ねぎ、味付えび）、調味粉末（粉末醤油、食塩、赤唐辛子パウダー、砂糖、ガーリックパウダー、昆布だし）／調味料（アミノ酸等）、トレハロース、酸化防止剤（ビタミンE）、リン酸塩（Na）、（一部にえび・小麦・大豆を含む）,えび、小麦、大豆
オニシのビリヤニ,https://www.onisifoods.co.jp/products/ethnic/biryani.html,西尾食品株式会社,アルファ米,5年,80g,192g,うるち米（国産）、味付乾燥具材（乾燥人参、乾燥いんげん、味付玉ねぎ）、調味粉末（食塩、乾燥パクチー、香辛料、トマトパウダー、脱脂粉乳、オニオンエキスパウダー、バター風味パウダー、ベース調味料、ぶどう糖）／調味料（アミノ酸等）、香辛料抽出物、微粒酸化ケイ素、パプリカ色素、トレハロース、酸味料、酸化防止剤（ビタミンE）、香料、（一部に小麦・乳成分・大豆を含む）," 小麦、乳成分、大豆"
尾西の携帯おにぎり鮭,https://www.onisifoods.co.jp/products/onigiri/sake.html,西尾食品株式会社,アルファ米,5年,42g,109g,うるち米（国産）、味付乾燥具材（さけ、食塩、還元水飴） / 調味料（アミノ酸）、トレハロース、ベニコウジ色素、酸化防止剤（ビタミンE）、（一部にさけを含む）,さけ
尾西の携帯おにぎりわかめ,https://www.onisifoods.co.jp/products/onigiri/wakame.html,西尾食品株式会社,アルファ米,5年,42g,109g,うるち米（国産）、味付乾燥具材（食塩、わかめ、砂糖、昆布エキス、でん粉、ホタテエキス） / 調味料（アミノ酸等）,なし
尾西の携帯おにぎり五目おこわ,https://www.onisifoods.co.jp/products/onigiri/gomoku.html,西尾食品株式会社,アルファ米,5年,45g,104g,もち米（国産）、うるち米（国産）、味付乾燥具材（食用植物油脂、醤油、砂糖、乾燥人参、油揚げ、乾燥ごぼう、乾燥しいたけ、こんにゃく、食塩） / ソルビトール、調味料（アミノ酸）、酸化防止剤（ビタミンE）、（一部に小麦・大豆を含む）,小麦、大豆
